text,label
鲁抗，医药龙头！更是火车头，飞机头！！！,1
没得救了,0
今天A股发红包了,1
调整完成，牛头开始喽,0
无量，诱多，见证完毕！,1
我们的目标是2800点,1
明天大幅高开就可以跑了,1
提前祝贺有色、煤炭、新能源今天反包大涨！抄底的吃肉,1
刚才查了一下百度，才知道上海电气是我国名副其实的的,1
厉害了我的熊A,1
本周不发新股，下周次新狂飙!,1
非常危险的四个字——“就这一次”。,0
清仓,0
看到有人发自己的收益，我也跟风一下,0
个个打回原形,0
大盘放量站稳2900点，春季吃肉行情来了吗？（20200214,1
阴跌杀伤力巨大~,1
烂得一塌糊涂,0
新大陆为什么几年不涨？难道大家看好的优质公司就这么,0
时间不多了，别装了,0
过年资金都昨天卖了，年后他们会追吗？,0
这大盘下午开盘怎么一下直线拉伸？出什么利好了吗？,0
券商回调就是买入机会，下午还会爆拉券商！,1
以后都买中字头才有前途[拜神],1
上不去就要下一个台阶,0
历害了我的……,0
月线量价惊显2倍大黑马，在5G板块，终级猎手！,1
实事求是的说，现在的A股是超级大熊市,0
又跳水了，快逃命！,0
迫不及待地卖掉手里的股，去追涨杀跌，结果，热点一天,1
美国加息了下星期,1
国内有些企业靠融资发展企业，有的股票能上涨有的不能,0
$上证指数(SH000001)$繁荣昌盛[赞][滴汗],1
我的眼里只有多头！！跌了一点点买。。,0
信静姐～吃肉肉～,1
天气真的降温了，股市也将进入寒冬。,0
我去，这么猛吗,0
0.98-11.9万，十几万倍啊，跌多少都不为过,0
“踏空”大师和他的弟子们今天坐不住了,1
这一波估计要到2600,1
为什么个股不涨，大盘咋涨起来的,0
业绩暴增券商板块能否再次诞生超级旗手，是A股重生的,1
自己玩,1
今天大盘该涨不涨。不久前好几次，该跌不跌。什么原因,0
藏格控股低开勇敢低吸,1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1
各种概念炒作过后，就是价值的回归，坚持低位绩优股,1
第六感觉，明天大盘还得跌，没到位，我的预测是大盘必,0
不要掩耳盗铃了,0
重大利好，就看你了$中科软(SH603927)$,1
清仓 卖卖卖,0
快点到三千以下，好让我考虑买点,1
大家别上当，千万要控制住，不跌破3048别买入。,0
变天了？！,0
指数涨一点点，个股也拉稀,0
天天大涨是几个意思？,0
同花顺的问才真是奇怪，一会说没事，一会说狗急跳墙形,0
散户进场那就肯定开始调整了，现在上涨完全为了吸引散,0
一点做多的都没有，做空一大堆。,0
还没放量，还要往下打。恐慌盘打出来了就可以了,0
今天最好跌深一点，最佳到3060,1
牛！大盘牛！,1
兑现股就是金光闪闪也要兑现，丑小鸭就是再丑也要抱回,1
十个里面九个亏，还是楼市安全,0
17.21买了1万股603219富佳股份。空仓太难受[大笑][大,1
我还没上车呢,0
大盘下星期开始要持续上涨,1
关注长安汽车,1
记住了即使有一天大盘涨到5000点，挣钱的有几个，就这,0
准备下来2970吧，我等你,1
这样下去会不会直奔2000而去?,0
新牛来了么？,1
船舶板块会来一波吗？,1
叼，又想把我积分亏掉,0
炒股真好玩，小子买了上海家化及海信视像[捂脸][捂脸],1
今天的调整应该是一步到位可能大，在没有更多重大利空,0
手上有票快清仓，马上大跳水，回补缺口！,0
不能买了,0
如此,0
保卫战开始,1
3200,1
60天线还是压力，大家千万不要对走势太过乐观，因为好,1
没有要反弹的意思啊,0
A股不值得天天泡在里面，浪费时间和精力,0
看美股做参考炒a股。亏的裤头都没,0
兄弟们，守住别破呀，英雄城(南昌)一起捍卫！[国家队],1
下来太容易上去太困难,0
看到大A市场每天成交一万多亿，我们散户都有信心持股,1
中午弄明白了，这样指数和个股的波段走势就清晰了。,1
唯一不割韭菜的板块就是白酒，闭着眼睛买买买！！！,0
这成交量蛋疼！,0
今天又是20cm的天下，主板只能扑街,0
老夫一生服的股不多，中芯国际算一个！！！,1
美股好,1
